C01374;metro;4
C01386;metro;3 Bis
C01387;metro;7 Bis
C01741;rail;Transilien U
C01999;tram;T11
C00563;rail;CDG VAL
C01372;metro;2
C01679;tram;T3b
C01728;rail;RER D
C01774;tram;T7
C02375;rail;TER Normandie (Ligne J)
C02529;tram;Tram T12
C01378;metro;8
C02372;rail;TER Hauts-de-France (Ligne D)
C01743;rail;RER B
C01391;tram;T3a
C01375;metro;5
C01376;metro;6
C01380;metro;10
C01390;tram;T2
C01748;rail;TER Normandie (Ligne J)
C01738;rail;Transilien K
C01379;metro;9
C01381;metro;11
C01384;metro;14
C01746;rail;TER Hauts-de-France (Ligne H ou D/H)
C01794;tram;T6
C01739;rail;Transilien J
C01863;rail;TER Hauts-de-France (Ligne K)
C02344;tram;T13
C02370;rail;TER Normandie (Ligne N)
C01745;rail;TER Bourgogne - Franche-Comté (Ligne R)
C01737;rail;Transilien H
C02317;tram;T9 - Paris Porte de Choisy - Orly Gaston Viens
C01740;rail;Transilien L
C01843;tram;T4
C01373;metro;3
C01382;metro;12
C01388;rail;ORLYVAL
C01383;metro;13
C01684;tram;T5
C01744;rail;TER Centre - Val de Loire (Ligne N)
C01730;rail;Transilien P
C01731;rail;Transilien R
C01742;rail;RER A
C01795;tram;T8
C01857;rail;TER Centre - Val-de-Loire (Ligne C)
C02368;rail;TER Centre - Val de Loire (Ligne R)
C01729;rail;RER E
C01377;metro;7
C01371;metro;1
C01727;rail;RER C
C01389;tram;T1
C01736;rail;Transilien N
C01747;rail;TER Grand-Est (Ligne P)
